VENT,HUME,10CATEGORIES
Adoring,Adoration,Happy
Adventurous,Excitement,Happy
Affectionate,Love,Love
Afraid,Fear,Fear
Amazed,Awe,Happy
Amused,Amusement,Happy
Angry,Anger,Anger
Annoyed,Annoyance,Anger
Anxious,Anxiety,Sadness
Artistic,Aesthetic,Happy
Ashamed,Shame,Sadness
Astonished,Surprise (positive),Happy
Awkward,Awkwardness,Confusion
Bitter,Disappointment,Sadness
Bored,Boredom,Neutral
Calm,Calmness,Contentment
Caring,Love,Love
Chill,Calmness,Contentment
Confident,Pride,Contentment
Conflicted,Confusion,Confusion
Confused,Confusion,Confusion
Content,Contentment,Contentment
Creative,Creativity,Happy
Cuddly,Affection,Love
Curious,Interest,Happy
Determined,Determination,Happy
Disappointed,Disappointment,Sadness
Disgusted,Disgust,Disgust
Done (anger),Anger,Anger
Dreamy,Romantic,Love
Embarrassed,Embarrassment,Fear
Empty,Sadness,Sadness
Excited,Excitement,Happy
Exhausted,Tiredness,Sadness
Frustrated,Annoyance,Anger
Furious,Anger,Anger
Guilty,Shame,Sadness
Happy,Joy,Happy
Heartbroken,Sadness,Sadness
Hopeful,Optimism,Love
Hungry,Craving,Neutral
Hurt,Pain,Fear
Hyped,Excitement,Happy
Imaginative,Creativity,Happy
Impatient,Annoyance,Anger
Infatuated,Romantic,Love
Insecure,Shame,Sadness
Inspired,Awe,Happy
Interested,Interest,Happy
Irritated,Annoyance,Anger
Jealous,Envy,Confusion
Lazy,Tiredness,Sadness
Lonely,Sadness,Sadness
Lost,Confusion,Confusion
Loving,Love,Love
Meh,Disappointment,Sadness
Miserable,Sadness,Sadness
Motivated,Determination,Happy
Musical,Aesthetic,Happy
Needy,Dependence,Sadness
Nervous,Anxiety,Sadness
Nostalgic,Nostalgia,Happy
Numb,Sadness,Sadness
Optimistic,Hope,Love
Overwhelmed,Anxiety,Sadness
Passionate,Love,Love
Poetic,Aesthetic,Happy
Proud,Pride,Contentment
Relaxed,Calmness,Contentment
Relieved,Relief,Gratitude
Sad,Sadness,Sadness
Safe,Security,Gratitude
Shocked,Surprise (negative),Anger
Shy,Social anxiety,Fear
Sick,Pain,Fear
Sleepy,Tiredness,Neutral
Sorry,Guilt,Fear
Spacey,Confusion,Confusion
Stressed,Anxiety,Sadness
Strong,Power,Happy
Supportive,Love,Love
Surprised,Surprise (positive),Happy
Thankful,Gratitude,Gratitude
Thoughtful,Consideration,Love
Tired,Tiredness,Neutral
Uncomfortable,Discomfort,Sadness
Upset,Sadness,Sadness
Worried,Anxiety,Sadness
,Contemplation,Gratitude
,Triumph,Happy
,Satisfaction,Contentment
,Admiration,Love
,Empathic Pain,Sadness
